depth,win_rate,ai1_wins,ai2_wins,avg_time_ms
....................................................................................................
1,0.410,41,59,0.0045
....................................................................................................
2,0.570,57,43,0.0424
....................................................................................................
3,0.680,68,32,0.4772
....................................................................................................
4,0.630,63,37,4.4561
....................................................................................................
5,0.630,63,37,31.9943
....................................................................................................
6,0.680,68,32,216.8500
....................................................................................................
7,0.740,74,26,1324.6870
